CodDepto,Departamento,CodMunicipio,Municipio,IDRegimen,Año,Mes,NumPersonas
52,NARINO,52786,TAMINANGO,S,2022,4,14252
05,ANTIOQUIA,05895,ZARAGOZA,C,2022,4,2113
25,CUNDINAMARCA,25019,ALBÁN,E,2022,4,35
76,VALLE,76823,TORO,S,2022,4,9755
15,BOYACA,15522,PANQUEBA,S,2022,4,1231
17,CALDAS,17050,ARANZAZU,S,2022,4,8179
27,CHOCO,27077,BAJO BAUDÓ (PIZARRO),E,2022,4,343
68,SANTANDER,68377,LA BELLEZA,E,2022,4,168
05,ANTIOQUIA,05660,SAN LUIS,S,2022,4,10184
25,CUNDINAMARCA,25245,EL COLEGIO,S,2022,4,11535
15,BOYACA,15362,IZA,E,2022,4,7
25,CUNDINAMARCA,25438,MEDINA,S,2022,4,5658
52,NARINO,52390,LA TOLA,S,2022,4,5663
20,CESAR,20550,PELAYA,C,2022,4,2476
41,HUILA,41668,SAN AGUSTÍN,S,2022,4,29835
19,CAUCA,19212,CORINTO,C,2022,4,4427
08,ATLANTICO,08558,POLONUEVO,S,2022,4,11600
41,HUILA,41503,OPORAPA,E,2022,4,147
47,MAGDALENA,47720,SANTA BÁRBARA DE PINTO,E,2022,4,82
52,NARINO,52356,IPIALES,C,2022,4,30106
47,MAGDALENA,47605,REMOLINO,E,2022,4,44
25,CUNDINAMARCA,25658,SAN FRANCISCO,S,2022,4,3851
25,CUNDINAMARCA,25148,CAPARRAPÍ,E,2022,4,181
70,SUCRE,70418,LOS PALMITOS,E,2022,4,429
15,BOYACA,15757,SOCHA,S,2022,4,3522
23,CORDOBA,23090,CANALETE,E,2022,4,150
76,VALLE,76233,DAGUA,C,2022,4,9655
15,BOYACA,15693,SANTA ROSA DE VITERBO,C,2022,4,1526
91,AMAZONAS,91001,LETICIA,E,2022,4,1779
25,CUNDINAMARCA,25743,SILVANIA,S,2022,4,13632
20,CESAR,20750,SAN DIEGO,S,2022,4,16147
52,NARINO,52685,SAN BERNARDO,S,2022,4,6537
54,NORTE DE SANTANDER,54398,LA PLAYA,S,2022,4,7542
19,CAUCA,19743,SILVIA,C,2022,4,1986
08,ATLANTICO,08573,PUERTO COLOMBIA,C,2022,4,11395
86,PUTUMAYO,86760,SANTIAGO,C,2022,4,525
86,PUTUMAYO,86755,SAN FRANCISCO,S,2022,4,4767
19,CAUCA,19455,MIRANDA,S,2022,4,16252
41,HUILA,41357,IQUIRA,S,2022,4,9233
05,ANTIOQUIA,05480,MUTATÁ,E,2022,4,286
68,SANTANDER,68468,MOLAGAVITA,C,2022,4,272
15,BOYACA,15317,GUACAMAYAS,S,2022,4,1165
17,CALDAS,17444,MARQUETALIA,C,2022,4,1698
68,SANTANDER,68179,CHIPATÁ,C,2022,4,318
73,TOLIMA,73870,VILLAHERMOSA,S,2022,4,6725
70,SUCRE,70235,GALERAS,S,2022,4,19259
23,CORDOBA,23586,PURÍSIMA,S,2022,4,13586
15,BOYACA,15368,JERICÓ,S,2022,4,2704
44,LA GUAJIRA,44098,DISTRACCIÓN,S,2022,4,8379
81,ARAUCA,81591,PUERTO RONDÓN,C,2022,4,516
17,CALDAS,17380,LA DORADA,E,2022,4,1202
05,ANTIOQUIA,05887,YARUMAL,C,2022,4,16777
05,ANTIOQUIA,05543,PEQUE,C,2022,4,630
15,BOYACA,15723,SATIVASUR,C,2022,4,266
76,VALLE,76890,YOTOCO,S,2022,4,8345
05,ANTIOQUIA,05030,AMAGÁ,E,2022,4,458
15,BOYACA,15804,TIBANÁ,E,2022,4,66
25,CUNDINAMARCA,25486,NEMOCÓN,S,2022,4,3334
15,BOYACA,15511,PACHAVITA,C,2022,4,203
15,BOYACA,15051,ARCABUCO,C,2022,4,674
05,ANTIOQUIA,05380,LA ESTRELLA,S,2022,4,10619
20,CESAR,20443,MANAURE BALCÓN DEL CESAR,C,2022,4,839
08,ATLANTICO,08685,SANTO TOMÁS,E,2022,4,896
17,CALDAS,17001,MANIZALES,E,2022,4,10800
70,SUCRE,70523,PALMITO,C,2022,4,571
27,CHOCO,27160,CERTEGUI,E,2022,4,36
15,BOYACA,15380,LA CAPILLA,C,2022,4,169
41,HUILA,41020,ALGECIRAS,E,2022,4,289
19,CAUCA,19622,ROSAS,E,2022,4,149
13,BOLIVAR,13683,SANTA ROSA,C,2022,4,2182
50,META,50001,VILLAVICENCIO,E,2022,4,11037
23,CORDOBA,23168,CHIMÁ,C,2022,4,978
