AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2020,4,25,CUNDINAMARCA,517323,3147954,"16,43"
2018,4,17,CALDAS,123158,998255,"12,34"
2017,2,52,NARIÑO,86468,1621984,"5,33"
2017,3,44,LA GUAJIRA,34899,846012,"4,13"
2018,4,13,BOLÍVAR,186967,2070110,"9,03"
2020,4,17,CALDAS,153047,1021435,"14,98"
2018,2,23,CÓRDOBA,92055,1784783,"5,16"
2019,2,23,CÓRDOBA,102798,1808439,"5,68"
2017,4,23,CÓRDOBA,86146,1763053,"4,89"
2020,3,91,AMAZONAS,1438,80472,"1,79"
2018,2,17,CALDAS,122163,998255,"12,24"
2019,1,54,NORTE DE SANTANDER,143100,1565362,"9,14"
2019,3,95,GUAVIARE,2648,84716,"3,13"
2016,3,99,VICHADA,132,102663,"0,13"
2017,1,23,CÓRDOBA,90943,1763053,"5,16"
2020,1,44,LA GUAJIRA,49479,964067,"5,13"
